# Unregistered IVSes: 479 Default + 506 Non-Default
28263 E0100; u28263
28263 E0101; uF0599
284BB E0100; u284BB
284BB E0101; uF059E
285BC E0100; u285BC
285BC E0101; uF10B5
28914 E0100; u28914
28914 E0101; uF05BD
28914 E0102; uF0B2E
28914 E0103; uF1C6E
28980 E0100; u28980
28980 E0101; uF1BD1
28A9D E0100; u28A9D
28A9D E0101; uF0CE1
28B8D E0100; u28B8D
28B8D E0101; uF05F6
28C6A E0100; u28C6A
28C6A E0101; uF05FB
28C7D E0100; u28C7D
28C7D E0101; uF1C4A
28C7E E0100; u28C7E
28C7E E0101; uF1C49
28C85 E0100; u28C85
28C85 E0101; uF0BC7
28C96 E0100; u28C96
28C96 E0101; uF0A75
29132 E0100; u29132
29132 E0101; uF2572
291AA E0100; u291AA
291AA E0101; uF2578
29218 E0100; u29218
29218 E0101; uF061A
29229 E0100; u29229
29229 E0101; uF061B
296DC E0100; u296DC
296DC E0101; uF0633
29C5B E0100; u29C5B
29C5B E0101; uF0C4C
29CA1 E0100; u29CA1
29CA1 E0101; uF03E4
29CCA E0100; u29CCA
29CCA E0101; uF0BCB
29CF3 E0100; u29CF3
29CF3 E0101; uF0BD3
29D5C E0100; u29D5C
29D5C E0101; uF0829
29D5D E0100; u29D5D
29D5D E0101; uF0657
29E69 E0100; u29E69
29E69 E0101; uF0A9D
29E69 E0102; uF0D05
29EA1 E0100; u29EA1
29EA1 E0101; uF0675
29F08 E0100; u29F08
29F08 E0101; uF0683
29F24 E0100; u29F24
29F24 E0101; uF1C25
2A1A7 E0100; u2A1A7
2A1A7 E0101; uF1B92
2A6A4 E0100; u2A6A4
2A6A4 E0101; uF1CFC
2A71B E0100; u2A71B
2A71B E0101; uF17E2
2A7D9 E0100; u2A7D9
2A7D9 E0101; uF0065
2A7FD E0100; u2A7FD
2A7FD E0101; uF1F19
2A84E E0100; u2A84E
2A84E E0101; uF20D1
2A958 E0100; u2A958
2A958 E0101; uF0B27
2A96F E0100; u2A96F
2A96F E0101; uF074E
2AB2B E0100; u2AB2B
2AB2B E0101; uF20C8
2ABA9 E0100; u2ABA9
2ABA9 E0101; uF20B2
2AC68 E0100; u2AC68
2AC68 E0101; uF04B6
2AD5F E0100; u2AD5F
2AD5F E0101; uF0723
2AD6F E0100; u2AD6F
2AD6F E0101; uF094F
2AE4E E0100; u2AE4E
2AE4E E0101; uF1A05
2AE5F E0100; u2AE5F
2AE5F E0101; uF0320
2AE98 E0100; u2AE98
2AE98 E0101; uF2533
2AEC9 E0100; u2AEC9
2AEC9 E0101; uF204E
2AF4F E0100; u2AF4F
2AF4F E0101; uF20D2
2AF5E E0100; u2AF5E
2AF5E E0101; uF0B80
2AF63 E0100; u2AF63
2AF63 E0101; uF1905
2B005 E0100; u2B005
2B005 E0101; uF03D9
2B0AE E0100; u2B0AE
2B0AE E0101; uF0424
2B0F0 E0100; u2B0F0
2B0F0 E0101; uF0456
2B15C E0100; u2B15C
2B15C E0101; uF20A6
2B177 E0100; u2B177
2B177 E0101; uF048C
2B183 E0100; u2B183
2B183 E0101; uF0763
2B21C E0100; u2B21C
2B21C E0101; uF02D7
2B225 E0100; u2B225
2B225 E0101; uF1542
2B3FD E0100; u2B3FD
2B3FD E0101; uF1AA3
2B47E E0100; u2B47E
2B47E E0101; uF05BB
2B4CF E0100; u2B4CF
2B4CF E0101; uF05F5
2B580 E0100; u2B580
2B580 E0101; uF1CC4
2B5BC E0100; u2B5BC
2B5BC E0101; uF062A
2B5C3 E0100; u2B5C3
2B5C3 E0101; uF1CA6
2B64F E0100; u2B64F
2B64F E0101; uF0812
2B822 E0100; u2B822
2B822 E0101; uF1E30
2B83A E0100; u2B83A
2B83A E0101; uF1D98
2B8A9 E0100; u2B8A9
2B8A9 E0101; uF0152
2B908 E0100; u2B908
2B908 E0101; uF05B2
2B929 E0100; u2B929
2B929 E0101; uF0777
2B9E7 E0100; u2B9E7
2B9E7 E0101; uF006F
2BC5E E0100; u2BC5E
2BC5E E0101; uF1373
2BD0B E0100; u2BD0B
2BD0B E0101; uF20A7
2BD61 E0100; u2BD61
2BD61 E0101; uF0B3A
2BDB7 E0100; u2BDB7
2BDB7 E0101; uF1766
2BF33 E0100; u2BF33
2BF33 E0101; uF2573
2BF6F E0100; u2BF6F
2BF6F E0101; uF0770
2C05C E0100; u2C05C
2C05C E0101; uF2577
2C07B E0100; u2C07B
2C07B E0101; uF15A9
2C585 E0100; u2C585
2C585 E0101; uF1CA7
2C589 E0100; u2C589
2C589 E0101; uF1AAD
2C5D4 E0100; u2C5D4
2C5D4 E0101; uF043F
2C5E2 E0100; u2C5E2
2C5E2 E0101; uF0454
2C6D1 E0100; u2C6D1
2C6D1 E0101; uF04B4
2C6F8 E0100; u2C6F8
2C6F8 E0101; uF05DE
2CC83 E0100; u2CC83
2CC83 E0101; uF1884
2CE97 E0100; u2CE97
2CE97 E0101; uF1A9E
2CED7 E0100; u2CED7
2CED7 E0101; uF2537
2D048 E0100; u2D048
2D048 E0101; uF0BE7
2D1DB E0100; u2D1DB
2D1DB E0101; uF0086
2E3A6 E0100; u2E3A6
2E3A6 E0101; uF0830
3137A E0100; u3137A
3137A E0101; uF07C1
31432 E0100; u31432
31432 E0101; uF2538
31460 E0100; u31460
31460 E0101; uF07F7
